name,address,gmap_id,description,latitude,longitude,category,avg_rating,num_of_reviews,state,url,city,id_sitio
California Shawarma,"California Shawarma, 518 S Brookhurst St #8, Anaheim, CA 92804",0x80dd2980615ec8bb:0xb0ca4689105fbc3d,,33.8256518,-117.958079,['Restaurant'],5.0,158,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dd2980615ec8bb:0xb0ca4689105fbc3d?authuser=-1&hl=en&gl=us,Anaheim,1
"Burger Theory - Anaheim, California","Burger Theory - Anaheim, California, 1915 S Manchester Ave, Anaheim, CA 92802",0x80dcd794d2f88901:0x5a065646e9bbee9c,Hamburgers & local craft beer on tap served in relaxed surrounds at the Holiday Inn Anaheim.,33.800314799999995,-117.9009847,"['American restaurant', 'Bar', 'Breakfast restaurant', 'Hamburger restaurant']",4.5,108,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcd794d2f88901:0x5a065646e9bbee9c?authuser=-1&hl=en&gl=us,Anaheim,2
The Southern California Bartending School,"The Southern California Bartending School, 5150 E La Palma Ave #114a, Anaheim, CA 92807",0x80dcd11709fb13cd:0x98ae8ddcd4d76dac,,33.8583721,-117.8055671,"['Bartending school', 'Catering food and drink supplier', 'Event venue']",4.9,98,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcd11709fb13cd:0x98ae8ddcd4d76dac?authuser=-1&hl=en&gl=us,Anaheim,3
Thai California Kitchen,"Thai California Kitchen, 676 S State College Blvd #101, Anaheim, CA 92806",0x80dcd651ef24f2c5:0xad8af7843525d842,"Compact, contemporary strip-mall eatery offering traditional Thai favorites for eat-in or takeout.",33.833008,-117.889033,['Thai restaurant'],4.1,78,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcd651ef24f2c5:0xad8af7843525d842?authuser=-1&hl=en&gl=us,Anaheim,4
California Pizzeria Since 88,"California Pizzeria Since 88, 1198 W Ball Rd, Anaheim, CA 92802",0x80dd29d4d7c4fa7f:0x6a19414f2544da77,,33.8177223,-117.9278471,"['Pizza restaurant', 'Halal restaurant']",4.4,48,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dd29d4d7c4fa7f:0x6a19414f2544da77?authuser=-1&hl=en&gl=us,Anaheim,5
Turkey Legs,"Turkey Legs, Disney California Adventure Park, Hollywood Blvd, Anaheim, CA 92802",0x80dcd7da39bb0f6f:0xd0a8c0632f2b0b76,"Disney California Adventure food cart offering smoked turkey legs, chimichangas & corn on the cob.",33.8077735,-117.9178565,"['Food court', 'Snack bar']",4.7,38,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcd7da39bb0f6f:0xd0a8c0632f2b0b76?authuser=-1&hl=en&gl=us,Anaheim,6
Hollywood Lounge,"Hollywood Lounge, Disney California Adventure Park 29 Hollywood Backlot, Anaheim, CA 92802",0x80dcd7963ef5c5f9:0x70ff54a8ee713581,,33.8081471,-117.9170215,['Restaurant'],5.0,1,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcd7963ef5c5f9:0x70ff54a8ee713581?authuser=-1&hl=en&gl=us,Anaheim,7
The Bistro,"The Bistro, 5105 California Ave, Bakersfield, CA 93309",0x80ea41f7cff6788f:0xc3398a2bac629496,This upscale choice with a wood-paneled bar & warm atmosphere offers American classics & cocktails.,35.3602778,-119.0597222,"['Bistro', 'Restaurant']",4.2,113,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea41f7cff6788f:0xc3398a2bac629496?authuser=-1&hl=en&gl=us,Bakersfield,1
Eat & Eat Chinese Food,"Eat & Eat Chinese Food, 1530 California Ave, Bakersfield, CA 93304",0x80ea6b9f58b97a27:0xe2260c81145a3297,,35.3687754,-119.0198912,"['Restaurant', 'Chinese restaurant', 'Sushi restaurant']",4.6,88,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea6b9f58b97a27:0xe2260c81145a3297?authuser=-1&hl=en&gl=us,Bakersfield,2
Baba's Hot Chicken,"Baba's Hot Chicken, 5625 California Ave Ste. 200, Bakersfield, CA 93309",0x80ea410cc9c99d89:0xf9972308bb0e39f7,,35.355996999999995,-119.0606616,['Chicken restaurant'],4.5,86,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea410cc9c99d89:0xf9972308bb0e39f7?authuser=-1&hl=en&gl=us,Bakersfield,3
Foster's Donuts,"Foster's Donuts, 5620 California Ave D, Bakersfield, CA 93309",0x80ea41f6cdc9a921:0x278ff40fedfb2913,,35.3559791,-119.0615939,"['Donut shop', 'Breakfast restaurant', 'Coffee shop', 'Dessert shop']",4.4,65,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea41f6cdc9a921:0x278ff40fedfb2913?authuser=-1&hl=en&gl=us,Bakersfield,4
At C Fresh,"At C Fresh, 920 California Ave Ste A, Bakersfield, CA 93304",0x80ea6bd0a4aca51d:0x87ef7a35c14273a6,,35.3691253,-119.012413,['Seafood restaurant'],4.4,48,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea6bd0a4aca51d:0x87ef7a35c14273a6?authuser=-1&hl=en&gl=us,Bakersfield,5
