gmap_id,name,address,estado,ciudad,latitude,longitude,avg_rating,recommendations,rec_name,rec_address,rec_estado,rec_ciudad,rec_latitude,rec_longitude,rec_avg_rating
0x89c2f4726e9cd321:0x76975bd8fe00afdf,Texas Chicken & Burgers,"Texas Chicken & Burgers, 21 W Burnside Ave, Bronx, NY 10453",PA,Morrisville,40.8539504,-73.908221,4.3,0x89c2f4726e9cd321:0x76975bd8fe00afdf,Texas Chicken & Burgers,"Texas Chicken & Burgers, 21 W Burnside Ave, Bronx, NY 10453",PA,Morrisville,40.8539504,-73.908221,4.3
0x89c2f3843c318353:0xf6cc3276c22cc023,Texas Chicken & Burgers,"Texas Chicken & Burgers, 32 E Kingsbridge Rd, Bronx, NY 10468",PA,Morrisville,40.8669847,-73.896535,4.0,0x89c2f3843c318353:0xf6cc3276c22cc023,Texas Chicken & Burgers,"Texas Chicken & Burgers, 32 E Kingsbridge Rd, Bronx, NY 10468",PA,Morrisville,40.8669847,-73.896535,4.0
0x89c2918336e7ceed:0x5cd1d93f91f3bfc9,Texas Chili Mamaroneck,"Texas Chili Mamaroneck, 123 Halstead Ave, Mamaroneck, NY 10543",PA,Morrisville,40.9529106,-73.7365228,4.5,0x89c2918336e7ceed:0x5cd1d93f91f3bfc9,Texas Chili Mamaroneck,"Texas Chili Mamaroneck, 123 Halstead Ave, Mamaroneck, NY 10543",PA,Morrisville,40.9529106,-73.7365228,4.5
0x89c2f48a0d25b721:0x7c6c9bd006010e71,Texas Chicken and Burgers,"Texas Chicken and Burgers, 778 E Tremont Ave, Bronx, NY 10460",PA,Morrisville,40.8439501,-73.8885202,4.0,0x89c2f48a0d25b721:0x7c6c9bd006010e71,Texas Chicken and Burgers,"Texas Chicken and Burgers, 778 E Tremont Ave, Bronx, NY 10460",PA,Morrisville,40.8439501,-73.8885202,4.0
0x89e82ddab970f98f:0x22e6bfa8e1100bcd,Texas Roadhouse,"Texas Roadhouse, 502 Commack Rd, Deer Park, NY 11729, United States",PA,Morrisville,40.76639,-73.31148,4.4,0x89e82ddab970f98f:0x22e6bfa8e1100bcd,Texas Roadhouse,"Texas Roadhouse, 502 Commack Rd, Deer Park, NY 11729, United States",PA,Morrisville,40.76639,-73.31148,4.4
0x89c28ca7a3764ebf:0xe980d6ad980e1b68,Texas Chicken and Burgers,"Texas Chicken and Burgers, 3275 Westchester Ave, Bronx, NY 10461",PA,Morrisville,40.8528634,-73.82776179999999,4.0,0x89c28ca7a3764ebf:0xe980d6ad980e1b68,Texas Chicken and Burgers,"Texas Chicken and Burgers, 3275 Westchester Ave, Bronx, NY 10461",PA,Morrisville,40.8528634,-73.82776179999999,4.0
0x89c2f48a0d25b721:0x7c6c9bd006010e71,Texas Chicken and Burgers,"Texas Chicken and Burgers, 778 E Tremont Ave, Bronx, NY 10460",PA,Morrisville,40.8439501,-73.8885202,4.0,0x89c2f48a0d25b721:0x7c6c9bd006010e71,Texas Chicken and Burgers,"Texas Chicken and Burgers, 778 E Tremont Ave, Bronx, NY 10460",PA,Morrisville,40.8439501,-73.8885202,4.0
0x89c6c61a5c64c8c9:0x4379ca970c249e17,Palizzi Social Club,"Palizzi Social Club, 1408 S 12th St, Philadelphia, PA 19147",PA,Philadelphia,39.9321547,-75.1644362,4.8,0x89c6c61a5c64c8c9:0x4379ca970c249e17,Palizzi Social Club,"Palizzi Social Club, 1408 S 12th St, Philadelphia, PA 19147",PA,Philadelphia,39.9321547,-75.1644362,4.8
0x89c6b44a0ad91b0f:0x29b323bab5356cbf,A'S pizza,"A'S pizza, 7100 Edmund St, Philadelphia, PA 19135",PA,Philadelphia,40.026854,-75.037534,4.0,0x89c6b44a0ad91b0f:0x29b323bab5356cbf,A'S pizza,"A'S pizza, 7100 Edmund St, Philadelphia, PA 19135",PA,Philadelphia,40.026854,-75.037534,4.0
0x89c6c720c9813c21:0xbfd1777abe21a21d,Frannie Nick's Philadelphia,"Frannie Nick's Philadelphia, 824 S 8th St, Philadelphia, PA 19147",PA,Philadelphia,39.9389483,-75.1564078,3.8,0x89c6c720c9813c21:0xbfd1777abe21a21d,Frannie Nick's Philadelphia,"Frannie Nick's Philadelphia, 824 S 8th St, Philadelphia, PA 19147",PA,Philadelphia,39.9389483,-75.1564078,3.8
0x89c6c7f34c372eab:0xbce4ade015b2cbf1,"Andale, Andale","Andale, Andale, 3632 Powelton Ave, Philadelphia, PA 19104",PA,Philadelphia,39.9595568,-75.1950971,4.8,0x89c6c7f34c372eab:0xbce4ade015b2cbf1,"Andale, Andale","Andale, Andale, 3632 Powelton Ave, Philadelphia, PA 19104",PA,Philadelphia,39.9595568,-75.1950971,4.8
0x89c6c9d33c9dea89:0xb6a5d2c992843550,Villagio Pizza & Cafe,"Villagio Pizza & Cafe, 2533 E Clearfield St, Philadelphia, PA 19134",PA,Philadelphia,39.98518,-75.106745,3.9,0x89c6c9d33c9dea89:0xb6a5d2c992843550,Villagio Pizza & Cafe,"Villagio Pizza & Cafe, 2533 E Clearfield St, Philadelphia, PA 19134",PA,Philadelphia,39.98518,-75.106745,3.9
0x89c6c864ee2ee12d:0x64bc2e482d59e10e,3J's Food Market Northern Liberties,"3J's Food Market Northern Liberties, 801 N 2nd St, Philadelphia, PA 19123",PA,Philadelphia,39.9630295,-75.1405674,4.5,0x89c6c864ee2ee12d:0x64bc2e482d59e10e,3J's Food Market Northern Liberties,"3J's Food Market Northern Liberties, 801 N 2nd St, Philadelphia, PA 19123",PA,Philadelphia,39.9630295,-75.1405674,4.5
0x89c6c734ca4b1cc9:0x89af54a80a79942,Italian Kitchen Pizzeria II,"Italian Kitchen Pizzeria II, 2035 N 63rd St, Philadelphia, PA 19151",PA,Philadelphia,39.9865727,-75.2477847,3.6,0x89c6c734ca4b1cc9:0x89af54a80a79942,Italian Kitchen Pizzeria II,"Italian Kitchen Pizzeria II, 2035 N 63rd St, Philadelphia, PA 19151",PA,Philadelphia,39.9865727,-75.2477847,3.6
0x89c6c6c993cdba5b:0x58514f2d2ddf6bd4,Bless Chinese and American Resturaunt,"Bless Chinese and American Resturaunt, 652 S 59th St, Philadelphia, PA 19143",PA,Philadelphia,39.950821,-75.2413225,4.2,0x89c6c6c993cdba5b:0x58514f2d2ddf6bd4,Bless Chinese and American Resturaunt,"Bless Chinese and American Resturaunt, 652 S 59th St, Philadelphia, PA 19143",PA,Philadelphia,39.950821,-75.2413225,4.2
